product_id,product_name,product_type,risk_level,min_investment,expected_return,launch_date,maturity_date,status,manager
PROD1000,Product_Gamma_1,insurance,low,5000,0.0953,2022-03-14,2027-10-18,active,Manager_X
PROD1001,Product_Gamma_2,insurance,high,100000,0.0908,2026-05-27,2029-01-15,active,Manager_Z
PROD1002,Product_Epsilon_3,stock,medium_low,1000,0.0937,2024-02-27,2028-11-24,active,Manager_X
PROD1003,Product_Alpha_4,insurance,high,10000,0.0764,2022-03-18,2029-01-17,matured,Manager_Y
PROD1004,Product_Alpha_5,stock,medium_low,100000,0.0754,2020-06-13,2030-10-31,active,Manager_Y
PROD1005,Product_Epsilon_6,fund,medium_low,100000,0.1356,2022-12-04,2028-08-30,pending,Manager_Y
PROD1006,Product_Epsilon_7,fund,medium_high,10000,0.0734,2021-10-27,2027-11-25,active,Manager_X
PROD1007,Product_Alpha_8,fund,medium,5000,0.1003,2023-02-03,2030-01-31,pending,Manager_X
PROD1008,Product_Beta_9,fund,medium_high,1000,0.0357,2023-02-19,2029-06-19,active,Manager_Y
PROD1009,Product_Beta_10,insurance,low,100000,0.1028,2022-08-15,2028-07-22,active,Manager_Z
PROD1010,Product_Epsilon_11,wealth_product,low,10000,0.069,2020-06-04,2028-08-11,active,Manager_X
PROD1011,Product_Epsilon_12,wealth_product,high,50000,0.0484,2024-08-17,2029-09-15,pending,Manager_Z
PROD1012,Product_Beta_13,wealth_product,low,10000,0.1414,2026-04-28,2028-10-07,active,Manager_Z
PROD1013,Product_Gamma_14,insurance,high,100000,0.0986,2025-01-23,2028-12-18,active,Manager_Z
PROD1014,Product_Gamma_15,bond,low,1000,0.0597,2022-09-29,2028-09-21,cancelled,Manager_Y
PROD1015,Product_Beta_16,fund,medium_high,1000,0.0849,2022-04-14,2029-01-11,active,Manager_Z
PROD1016,Product_Delta_17,fund,medium,1000,0.0301,2023-08-18,2029-03-20,active,Manager_X
PROD1017,Product_Delta_18,fund,medium_low,50000,0.028,2023-10-26,2028-12-04,active,Manager_X
PROD1018,Product_Gamma_19,wealth_product,high,50000,0.1153,2025-12-18,2030-10-02,matured,Manager_Z
PROD1019,Product_Epsilon_20,fund,medium_low,50000,0.0548,2025-01-12,2029-07-08,active,Manager_X
PROD1020,Product_Epsilon_21,wealth_product,medium_high,10000,0.1412,2022-03-16,2028-08-02,active,Manager_X
PROD1021,Product_Epsilon_22,insurance,medium_low,1000,0.0445,2021-12-31,2029-05-20,matured,Manager_Z
PROD1022,Product_Gamma_23,insurance,low,10000,0.0325,2020-01-09,2028-06-08,active,Manager_Z
PROD1023,Product_Gamma_24,wealth_product,medium,5000,0.1384,2024-08-03,2030-06-13,active,Manager_Y
PROD1024,Product_Beta_25,insurance,medium_low,100000,0.052,2026-06-29,2027-12-30,pending,Manager_X
PROD1025,Product_Gamma_26,stock,high,5000,0.0933,2022-10-24,2027-12-13,matured,Manager_Z
PROD1026,Product_Alpha_27,bond,medium_high,1000,0.1353,2021-06-21,2028-10-29,matured,Manager_Y
PROD1027,Product_Epsilon_28,wealth_product,medium_low,1000,0.1073,2026-04-17,2027-06-29,active,Manager_X
PROD1028,Product_Delta_29,insurance,medium,5000,0.1089,2021-10-14,2030-09-14,active,Manager_Z
PROD1029,Product_Epsilon_30,fund,medium,1000,0.0363,2023-02-15,2028-09-23,active,Manager_Y
PROD1030,Product_Gamma_31,fund,medium_high,10000,0.1025,2021-03-04,2027-03-08,active,Manager_Z
PROD1031,Product_Alpha_32,stock,medium_high,5000,0.0886,2024-11-28,2028-12-08,pending,Manager_X
PROD1032,Product_Beta_33,stock,high,1000,0.1387,2020-08-25,2030-11-28,active,Manager_Z
PROD1033,Product_Gamma_34,insurance,high,10000,0.0504,2023-07-24,2027-01-15,pending,Manager_Y
PROD1034,Product_Gamma_35,insurance,low,100000,0.1014,2025-07-20,2028-12-24,active,Manager_X
PROD1035,Product_Epsilon_36,fund,low,1000,0.0987,2026-05-16,2027-04-17,cancelled,Manager_X
PROD1036,Product_Delta_37,stock,low,50000,0.1447,2022-06-12,2028-02-01,active,Manager_Y
PROD1037,Product_Delta_38,bond,high,50000,0.0339,2022-11-25,2028-10-08,active,Manager_X
PROD1038,Product_Beta_39,wealth_product,medium_low,1000,0.0935,2022-02-11,2027-07-25,active,Manager_Y
PROD1039,Product_Gamma_40,fund,medium_low,10000,0.0558,2024-05-24,2030-02-09,matured,Manager_Y
PROD1040,Product_Epsilon_41,wealth_product,medium_high,1000,0.0645,2025-11-21,2030-11-17,active,Manager_Y
PROD1041,Product_Alpha_42,bond,high,100000,0.115,2025-04-01,2027-11-20,active,Manager_Z
PROD1042,Product_Gamma_43,bond,low,1000,0.0523,2020-12-09,2027-05-05,active,Manager_Z
PROD1043,Product_Beta_44,fund,medium,100000,0.0517,2020-08-27,2029-04-19,matured,Manager_Z
PROD1044,Product_Beta_45,fund,medium,1000,0.0806,2024-05-14,2028-05-16,matured,Manager_Z
PROD1045,Product_Gamma_46,stock,medium_high,50000,0.0863,2021-07-03,2029-05-19,active,Manager_Y
PROD1046,Product_Alpha_47,wealth_product,low,10000,0.0523,2021-04-18,2030-07-24,active,Manager_Z
PROD1047,Product_Epsilon_48,stock,medium_low,100000,0.0533,2020-09-25,2028-04-07,cancelled,Manager_X
PROD1048,Product_Delta_49,stock,high,5000,0.0809,2020-09-06,2030-03-17,active,Manager_Y
PROD1049,Product_Beta_50,wealth_product,high,100000,0.0383,2026-02-13,2029-01-22,active,Manager_X
