字段,值
需求名称,客户风险匹配度分析
需求标识,option_c
表名,dwd_customer_risk_match
中文表名,客户风险匹配明细表
层级,DWD
创建日期,2026-06-11

字段名,数据类型,中文注释,是否主键,是否可空,默认值,计算逻辑
stat_date,VARCHAR(20),统计日期,是,否,,h.as_of_date
customer_id,VARCHAR(50),客户ID,是,否,,a.customer_id
account_id,VARCHAR(50),账户ID,否,否,,h.account_id
holding_id,VARCHAR(50),持仓ID,是,否,,h.holding_id
product_id,VARCHAR(50),产品ID,否,否,,h.product_id
product_name,VARCHAR(200),产品名称,否,否,,p.product_name
product_risk_level,VARCHAR(20),产品风险等级,否,否,,p.risk_level
customer_risk_level,VARCHAR(20),客户风险等级,否,是,,r.risk_category
risk_match_flag,VARCHAR(20),风险匹配标志,否,否,,CASE WHEN product_risk_numeric > customer_risk_numeric THEN 'mismatch' ELSE 'matched'
risk_gap,INT,风险等级差距,否,否,,CASE WHEN product_risk_numeric > customer_risk_numeric THEN product_risk_numeric - customer_risk_numeric ELSE 0
holding_market_value,DECIMAL(18;2),持仓市值,否,是,,h.market_value
holding_quantity,DECIMAL(18;4),持仓数量,否,是,,h.quantity
assessment_date,VARCHAR(20),风险测评日期,否,是,,r.assessment_date
assessment_valid_until,VARCHAR(20),测评有效期至,否,是,,r.valid_until
assessment_status,VARCHAR(20),测评状态,否,是,,r.status
dm_src_info,VARCHAR(100),数据来源表,否,否,,'ods_holding'
etl_load_time,DATETIME,ETL加载时间,否,否,,NOW()

加工逻辑项,说明
数据来源,"ods_holding, ods_account, ods_product, ods_risk_assessment"
关联条件,"ods_holding.account_id = ods_account.account_id; ods_holding.product_id = ods_product.product_id; ods_account.customer_id = ods_risk_assessment.customer_id"
过滤条件,"ods_account.is_current = 1; ods_product.is_current = 1; ods_holding.is_current = 1; ods_risk_assessment.is_current = 1; ods_risk_assessment.status = 'valid'"
聚合粒度,as_of_date + customer_id + holding_id
更新策略,"全量刷新，日频"
ETL脚本,etl/etl_dwd_customer_risk_match.sql
